id;name;address;lat;longitude;phone;city;state
1;Argentine Peso implementation;Wallis and Futuna;28654;83893;802.008.3351 x358;Gloverberg;Investment Account Refined Intelligent Granite Shirt
2;Philippine Peso Metal;Strategist;51630;71459;1-073-244-7020;Port Armandofort;Saudi Riyal paradigms
3;Corporate;Enterprise-wide Benin;71459;18286;(926) 957-6546 x7402;Flavioville;Steel leading-edge Small
4;Incredible Fresh Chips;Shoes Music connect;80691;47347;1-144-630-6968;East Garnetttown;Optimization Cambridgeshire
5;payment Soap;Web;94425;2651;(569) 856-3561 x48589;Gerryfort;invoice teal analyzing
6;Fantastic;Ergonomic Rubber Chicken;33655;7118;(338) 603-8224 x1663;Trenthaven;system
7;Specialist China deliverables;multi-byte Producer;41261;12768;275.389.5824;Nestormouth;Configurable iterate Liechtenstein
8;navigating encoding;Fantastic Small Frozen Salad bypassing;35490;31931;969.454.6040 x26356;Lake Tysonfort;back-end Unbranded Cambridgeshire
9;Designer;mindshare;88770;54591;719.167.8681;Boehmview;Centralized revolutionize International
10;Sleek;Visionary;58130;37427;(388) 299-9573 x37047;South Meaghan;Triple-buffered array
